"Name","Department","Would Take Again","Level of Difficulty","Total Ratings","Overall Quality","College"
"Buxton, John J.B. ","Public Policy","N/A","3.0","2","5.0","UNC"
"Gose, Allison ","History","","","","","UNC"
"Papoi, Kristin ","Education","N/A","2.5","2","4.5","UNC"
"Thompson, Daniel ","Mathematics","N/A","3.0","3","3.0","UNC"
"Gruffat, Sabine ","Art","N/A","3.5","4","4.2","UNC"
"Kim, Ronald ","Psychology","N/A","3.0","1","5.0","UNC"
"Ringel, Daniel ","Business","N/A","3.0","2","4.5","UNC"
"Psioda, Matthew ","Biostatistics","N/A","2.3","3","4.3","UNC"
"Erlacher, Trevor ","History","N/A","3.0","1","5.0","UNC"
"Cabrera Castro, Tamara ","Spanish","","2.7","6","4.3","UNC"
"Hof, Tobias ","History","N/A","4.0","1","5.0","UNC"
"Chang, Yenping ","Psychology","N/A","3.3","6","1.2","UNC"
"Schoenbach, Victor ","Epidemiology","","","","","UNC"
"Truong, Young Kinh","Biostatistics","N/A","1.0","1","4.0","UNC"
"Tan, Xianming ","Biostatistics","","","","","UNC"
"Proctor, Robert ","Mathematics","N/A","4.0","1","2.0","UNC"
"Newhall, Katie ","Mathematics","N/A","4.0","3","2.7","UNC"
"Callahan, Marc ","Music","N/A","2.5","2","5.0","UNC"
"Rustad, Kate ","Linguistics","N/A","4.0","1","5.0","UNC"
"Newhall, Katherine ","Mathematics","N/A","3.0","1","1.0","UNC"
"Metivier, Lindsay ","Art","","2.3","6","5.0","UNC"
"Goldsmith, Kelly ","Spanish","","2.4","8","5.0","UNC"
"Hawley, Victoria ","Exercise amp Sport Science","N/A","1.0","1","5.0","UNC"
"Guillory, Ferrrel ","Journalism","N/A","2.0","1","5.0","UNC"
"Bruxvoort, Michael ","Linguistics","N/A","3.3","3","4.7","UNC"
"Shen, Chen ","Mathematics","N/A","3.5","2","1.5","UNC"
"Campbell, Kody ","Exercise amp Sport Science","N/A","3.0","1","4.0","UNC"
"Romero, Ligaiya Gaily","Journalism","N/A","3.0","4","2.5","UNC"
"Escalante, Emilio ","Spanish","N/A","3.0","1","1.0","UNC"
"Englehardt, Elizabeth ","American Studies","","","","","UNC"
"Knight, Jillian ","Journalism","","","","","UNC"
"Cornell, Jeffrey Blaur","Dramatic Arts","","","","","UNC"
"Krul, Jacob ","Exercise amp Sport Science","N/A","4.0","2","5.0","UNC"
"King, Martha ","Anthropology","N/A","2.7","3","4.7","UNC"
"Whitaker, Erinn ","Journalism","","","","","UNC"
"Veneri, Toni ","Spanish","N/A","3.3","3","5.0","UNC"
"Mangravite, Gina ","Spanish","N/A","4.0","1","5.0","UNC"
"Larres, Klaus ","History","N/A","3.0","1","5.0","UNC"
"Schlobohm, Allison ","Business","N/A","3.7","3","4.3","UNC"
"Ott, Timothy ","Business","","","","","UNC"
"Williams, Gray ","Civil Engineering","","","","","UNC"
"Bollick, Cheryl ","Education","N/A","2.3","3","4.7","UNC"
"Yu, Sunny ","Exercise & Sport Science","N/A","1.0","3","5.0","UNC"
"Knapczyk, Peter ","Asian Studies","N/A","2.5","2","4.5","UNC"
"Sweeney, John ","Journalism","N/A","4.0","2","5.0","UNC"
"Bell, Trevor ","Journalism","N/A","2.3","4","4.5","UNC"
"Friel, Susan ","Education","N/A","4.0","1","2.0","UNC"
"Iwashita, Fumi ","Languages","","","","","UNC"
"Perez, Daniel ","Sociology","","","","","UNC"
"McElroy, Michael ","Journalism","N/A","3.7","3","4.0","UNC"
"Herman-Giddens, Marcus ","Biostatistics","N/A","4.0","1","2.0","UNC"
"Gemboni, Giuseppina ","Languages","N/A","2.7","3","4.7","UNC"
"Brantner, James ","Philosophy","N/A","5.0","1","2.0","UNC"
"Martin, Chris ","Biology","N/A","3.0","1","4.0","UNC"
"Blanchard, Lynn ","Health Science","","","","","UNC"
"Nimchuck, Zack ","Biology","N/A","3.0","4","4.5","UNC"
"Vander Vegt, Christina ","Exercise amp Sport Science","N/A","3.5","2","1.5","UNC"
"Lee, Eunji ","Languages","","2.7","8","5.0","UNC"
"Aponte, Roberto ","Exercise & Sport Science","N/A","2.0","1","3.0","UNC"
"Hughes-Hassell, Sandra ","Information Science","","","","","UNC"
"Lyall, Angus ","Geography","N/A","2.0","1","5.0","UNC"
"Shiau, Celia ","Biology","N/A","4.6","5","1.6","UNC"
"Misra, Smita ","Communication Studies","N/A","2.0","2","5.0","UNC"
"Conte, Gracie ","Mathematics","N/A","1.8","4","4.5","UNC"
"Mulligan, Christin ","English","","","","","UNC"
"Wikberg, Eva ","Biology","","","","","UNC"
"Mihalik, Johna ","Exercise & Sport Science","","4.0","5","3.8","UNC"
"Hester, Rhonda ","Journalism","","","","","UNC"
"Buck, Dana ","Journalism","","","","","UNC"
"Gagum, Kyung ","German","N/A","2.5","4","5.0","UNC"
"Hasseler, Elizabeth ","Sociology","","","","","UNC"
"Britt, Lucy ","Political Science","","3.3","13","3.3","UNC"
"Strayer, Michael ","Mathematics","N/A","2.0","1","3.0","UNC"
"Fox, Michael ","English","","","","","UNC"
"Lee, Duyeol ","Statistics","N/A","3.0","2","3.5","UNC"
"Glasgow, Jake Kyle","Spanish","","1.6","5","5.0","UNC"
"Carter, Marshele ","Journalism","N/A","2.8","4","5.0","UNC"
"Nicastro, Adam ","Geology","N/A","3.0","3","5.0","UNC"
"Crais, Elizabeth ","Communication Studies","","","","","UNC"
"Boone, Haley ","Linguistics","N/A","2.0","1","2.0","UNC"
"Rosera, Joshua ","Geology","","","","","UNC"
"Malloy, Katherine ","Journalism","N/A","4.5","2","1.5","UNC"
"Edwell, Jennifer ","English","","","","","UNC"
"Monahan, Torin ","Communication Studies","N/A","2.0","1","5.0","UNC"
"Silva, Kumi ","Communication Studies","N/A","2.8","4","4.5","UNC"
"Dixon, Dwayne ","Anthropology","","2.3","11","4.6","UNC"
"Cable, Jaye ","Environmental Sci & Eng","N/A","3.0","2","3.0","UNC"
"Sheppard, Kate ","Journalism","","","","","UNC"
"Lundberg, Christian O","Communication Studies","","","","","UNC"
"Missen, Cliff ","Information Science","","","","","UNC"
"Geiser, Suzanna ","English","","3.6","8","4.6","UNC"
"Smith-Ryan, Abbie ","Exercise amp Sport Science","","","","","UNC"
"Christensen, Devin ","Political Science","","3.0","5","5.0","UNC"
"Diem, Matthew ","English","N/A","3.0","1","1.0","UNC"
"Sullivan, Rory ","English","N/A","4.0","1","5.0","UNC"
"Lloyd, Bryanna ","Classics","N/A","5.0","1","4.0","UNC"
"Zeithaml, Valarie ","Business","","","","","UNC"
"Berry, Maya J","African-American Studies","","2.6","5","5.0","UNC"
"Lee, Gosia ","Spanish","N/A","4.0","3","3.0","UNC"
"Watkins, India ","Languages","N/A","3.3","3","4.7","UNC"
"Tardo, Katie ","Classics","N/A","3.0","1","4.0","UNC"
"Rudosky, Christina ","Languages","","3.2","5","4.0","UNC"
"Greenawald, David C","Geology","N/A","3.0","1","5.0","UNC"
"Hemelt, Steven ","Public Policy","","","","","UNC"
"Camara, Samba ","African-American Studies","N/A","2.5","2","5.0","UNC"
"Ayling, Lindsay ","History","","","","","UNC"
"Dilliplane, Daniel ","Communication Studies","N/A","4.0","2","3.0","UNC"
"Moran, Andrew ","Chemistry","N/A","4.0","1","3.0","UNC"
"Rippe, JP ","Environmental Sci & Eng","","","","","UNC"
"Hodges, Patrick ","Information Science","N/A","4.0","2","3.5","UNC"
"Rader, Jonathan ","Biology","N/A","4.0","1","1.0","UNC"
"Buckner, Candace ","Religious Studies","N/A","5.0","1","2.0","UNC"
"Septer, Alecia ","Biology","N/A","3.0","1","5.0","UNC"
"Freedman, Andy ","Journalism","N/A","3.0","2","5.0","UNC"
"Trott, Karen ","Business","","","","","UNC"
"Collins, Mark ","English","N/A","2.0","2","5.0","UNC"
"Peterjohn, Austin M.","Exercise amp Sport Science","N/A","2.5","2","5.0","UNC"
"Baier, Elizabeth ","Journalism","N/A","4.0","2","4.5","UNC"
"Cirulli, Massimiliano ","Spanish","N/A","3.0","3","5.0","UNC"
"Arguello, Jaime ","Information Science","N/A","2.0","1","4.0","UNC"
"Howard, Jen ","English","N/A","2.0","2","4.0","UNC"
"Austin, Lucinda ","Journalism","N/A","4.0","1","5.0","UNC"
"Conroy, Michael ","Statistics","N/A","3.0","3","4.0","UNC"
"Ndidi Adeyanju, Ndidi ","Psychology","","","","","UNC"
"Liu, Yufeng ","Statistics","N/A","4.0","2","1.5","UNC"
"Landers, Katherine ","English","N/A","3.0","1","4.0","UNC"
"McLaughlin, Richard ","Mathematics","N/A","3.0","1","5.0","UNC"
"Maclean, John ","Mathematics","","","","","UNC"
"Weiler, Christina ","German","N/A","3.0","2","5.0","UNC"
"Pfeiffer, Steven ","Exercise amp Sport Science","N/A","3.0","3","4.7","UNC"
"Carvalho, Carolina Sa","Spanish","","","","","UNC"
"McLean, Miller ","Languages","N/A","2.0","1","5.0","UNC"
"Simmons, Jed ","Economics","N/A","4.5","2","1.5","UNC"
"Rose, Tobias ","Journalism","","","","","UNC"
"Wang, Tianqi ","Geology","","","","","UNC"
"Richmond, Jason ","Music","N/A","3.0","1","5.0","UNC"
"Adam, Karl Martin","Philosophy","N/A","4.3","3","4.7","UNC"
"Morehouse, Jordan ","Journalism","N/A","4.0","1","3.0","UNC"
"Newsome, Taylor ","Chemistry","","","","","UNC"
"Brookie, Parker ","Spanish","N/A","4.0","3","4.7","UNC"
"Sun, Tianxiao ","Statistics","N/A","3.0","2","4.5","UNC"
"Laux, Jeff ","Biostatistics","N/A","2.0","1","4.0","UNC"
"Sostaita, Barbara ","Religious Studies","N/A","4.5","2","5.0","UNC"
"Nappo, Francesco ","Philosophy","","","","","UNC"
"Wolf, Simon ","Linguistics","N/A","3.0","2","5.0","UNC"
"Deutschbein, Calvin ","Computer Science","N/A","2.7","3","5.0","UNC"
"Simpson, Bland ","English","N/A","2.0","1","5.0","UNC"
"Jenkins, Andrew ","Communication Studies","N/A","1.0","2","4.5","UNC"
"Hoellerbauer, Simon ","Political Science","N/A","3.0","1","4.0","UNC"
"Schwob, Anneke ","English","N/A","1.5","2","5.0","UNC"
"Young, Bryanne ","Communication Studies","N/A","2.5","2","4.5","UNC"
"Houck, Eric ","Education","N/A","3.0","1","4.0","UNC"
"Hwang, Karam ","Sociology","N/A","3.5","2","4.0","UNC"
"Foote, Kristen ","Languages","N/A","3.3","3","4.3","UNC"
"Waterbury, Adam ","Statistics","","1.7","6","4.7","UNC"
"Blake, Jamie ","Music","N/A","1.0","1","5.0","UNC"
"Smith, Richard L","Statistics","N/A","2.5","2","4.0","UNC"
"Li, Bo ","Chemistry","","","","","UNC"
"Parker, Zachary ","Communication Studies","N/A","3.5","4","5.0","UNC"
"Wilson, Avery ","Mathematics","","","","","UNC"
"Leonard, Christina ","Nursing","","","","","UNC"
"McCullough, Katelin ","Classics","","","","","UNC"
"Auer, Jessica ","History","N/A","2.7","3","4.7","UNC"
"Brown, Michael ","Spanish","N/A","4.0","1","4.0","UNC"
"Forshier, Anthony ","Army ROTC","","","","","UNC"
"Stoner, Lee ","Exercise & Sport Science","N/A","3.0","1","2.0","UNC"
"Dinkins, Hunter ","Mathematics","N/A","5.0","2","2.5","UNC"
"SMITH, JENNIFER ","Anthropology","","","","","UNC"
"Chakraborty, Apurba ","Political Science","N/A","3.0","3","4.3","UNC"
"King, Susan Robinson","Journalism","","","","","UNC"
"Crandell, Jamie ","Health Science","","","","","UNC"
"Register-Mihalik, Johna ","Exercise amp Sport Science","N/A","3.3","4","5.0","UNC"
"Hermes, Douglas ","Psychology","N/A","3.0","3","4.7","UNC"
"McClellan, Autumn ","Sociology","","","","","UNC"
"McAlister, Colleen ","Spanish","N/A","3.0","1","5.0","UNC"
"Koedam, Jelle ","Political Science","N/A","2.0","1","5.0","UNC"
"Seaman, Kendra ","Psychology","N/A","3.0","4","2.3","UNC"
"Braun, Amy ","Geography","N/A","2.6","5","1.4","UNC"
"Koyama, Yuka ","Chemistry","","","","","UNC"
"Smith, Patsy ","Business","N/A","4.0","1","5.0","UNC"
"Smith-Ryan, Abbie ","Exercise & Sport Science","N/A","3.0","2","4.5","UNC"
"Murray, Ian ","English","N/A","3.0","2","4.5","UNC"
"Chavez, Andreacutes Porras","Spanish","","","","","UNC"
"Sawyer, Keith ","Education","N/A","2.0","1","4.0","UNC"
"Oxford, Gerry ","Medicine","","","","","UNC"
"Krull, Laura ","Sociology","","2.3","7","5.0","UNC"
"Norton, Sean ","Political Science","","","","","UNC"
"Carrier, Melissa ","Public Policy","N/A","2.3","3","5.0","UNC"
"Doyle, Kelly ","Nursing","","","","","UNC"
"Gellman, Erik ","History","","2.6","11","4.6","UNC"
"Grimes, Melissa ","Psychology","N/A","2.0","1","5.0","UNC"
"Coussens, Brian ","Religious Studies","N/A","5.0","1","1.0","UNC"
"Kerr, Zachary ","Exercise & Sport Science","N/A","2.0","1","5.0","UNC"
"Prothero, Jack ","Statistics","N/A","3.7","3","3.7","UNC"
"Lohmann, Kenneth ","Biology","N/A","4.0","2","5.0","UNC"
"Gilliland, William ","Chemistry","","","","","UNC"
"Kief, I Jonathan ","Asian Studies","N/A","3.3","3","4.7","UNC"
"Kauffman, Bud ","Languages","N/A","4.0","1","4.0","UNC"
"Shou, Yiyan ","Mathematics","N/A","3.0","3","2.3","UNC"
"Nitchovski, Pavel ","Philosophy","N/A","2.0","2","5.0","UNC"
"Fowler, Amanda ","English","","","","","UNC"
"Zerkle, Sandra ","Psychology","N/A","1.5","2","4.5","UNC"
"Companion, Michel A","Psychology","N/A","4.0","3","4.7","UNC"
"Surminsky, Rachel ","Political Science","N/A","2.5","4","5.0","UNC"
"Velchik, Alison ","Psychology","","","","","UNC"
"Grady, Erin ","Art History","","","","","UNC"
"Harcus, Aaron ","Music","","","","","UNC"
"Jones, Meta ","English","N/A","3.0","1","5.0","UNC"
"DeSaix, Jean S","Biology","N/A","1.0","1","3.0","UNC"
"Winston, Aisling ","Economics","","","","","UNC"
"Adcock, Preston ","Communication Studies","N/A","2.3","3","4.7","UNC"
"Malhotra, Claudia ","Business","N/A","3.0","1","5.0","UNC"
"Rabinowitz, Stuart ","Political Science","N/A","1.0","1","1.0","UNC"
"Bordoni, Giorgia ","Languages","N/A","3.5","2","4.0","UNC"
"Raleigh, Peter ","History","","3.3","6","5.0","UNC"
"Adam, Brian ","Mathematics","","","","","UNC"
"Zaidi, Batool ","Sociology","N/A","3.0","2","5.0","UNC"
"Mei, Wei ","Marine Sciences","N/A","1.0","3","5.0","UNC"
"Tu, Yichen ","Mathematics","N/A","3.0","2","3.5","UNC"
"Jeffs, Alexander ","Biology","","","","","UNC"
"Bryant, Chad ","History","","3.0","10","3.9","UNC"
"Walton, Sarah ","English","","","","","UNC"
"Wang, Lu ","Mathematics","","","","","UNC"
"Dekemper, John ","Art","N/A","2.0","1","5.0","UNC"
"Cooper, Erin Colleen","Music","","","","","UNC"
"Basu, Samopriya ","Statistics","N/A","2.5","2","3.0","UNC"
"Coclanis, Peter ","History","","","","","UNC"
"McArdle, Kelly ","Classics","","2.8","5","4.6","UNC"
"Lancaster, Caroline ","Political Science","N/A","3.0","2","2.5","UNC"
"Perucci, Tony ","Communication Studies","N/A","2.0","2","5.0","UNC"
"Schmitz, Christoph ","German","N/A","4.0","2","2.5","UNC"
"Brown, Brendan ","Statistics","N/A","4.5","2","1.0","UNC"
"Jacob, Joel ","Computer Science","","","","","UNC"
"Hartlyn, Jonathan ","Political Science","N/A","4.0","1","3.0","UNC"
"Vesely, Annamaria ","Air Force Studies","","","","","UNC"
"Salemi, Elisa ","Languages","N/A","3.0","2","3.0","UNC"
"Minaev, Andrey ","Economics","N/A","3.7","3","3.7","UNC"
"Alexander, Seth ","Biology","N/A","3.3","3","5.0","UNC"
"McDermott, Jessica ","Exercise & Sport Science","","1.4","22","4.8","UNC"
"Pozo, Maria ","Spanish","N/A","3.0","2","4.5","UNC"
"Di Cassio, Tara ","Asian Studies","N/A","3.7","3","5.0","UNC"
"Clegg, Claude ","African-American Studies","N/A","3.0","1","5.0","UNC"
"Epps-Robertson, Candace ","English","N/A","1.8","4","5.0","UNC"
"Robertson, Sabrina ","Psychology","","3.2","7","4.6","UNC"
"Schauer, Cindy ","Chemistry","","","","","UNC"
"Becerra, Eric ","History","N/A","2.0","1","5.0","UNC"
"Sanford, Kay ","Epidemiology","N/A","1.0","2","3.5","UNC"
"Cameron, Shanice ","Communication Studies","N/A","3.0","1","3.0","UNC"
"Chernoff, Eric ","Information Science","N/A","2.0","1","5.0","UNC"
"Alzer, Mohamdod ","Exercise amp Sport Science","N/A","2.2","4","5.0","UNC"
"Viera, Janelle ","Sociology","N/A","2.0","2","5.0","UNC"
"Warner, Charles ","English","N/A","3.0","1","4.0","UNC"
"Chen, Yun ","Psychology","N/A","1.0","1","5.0","UNC"
"Rice, Kylan ","English","N/A","2.5","4","5.0","UNC"
"Torres Silva, Diana Isabel","Spanish","N/A","3.0","3","3.0","UNC"
"Stark, Douglas ","English","N/A","1.0","1","4.0","UNC"
"Liu, Judy ","Journalism","N/A","2.0","3","1.3","UNC"
"Mazandarani, Farnosh ","Journalism","N/A","2.8","4","4.8","UNC"
"Frye, Brandon ","Journalism","N/A","3.0","1","1.0","UNC"
"Walsh, Stephen J","Geography","N/A","3.3","3","2.0","UNC"
"Cohen, Finn ","Journalism","N/A","4.5","2","5.0","UNC"
"Reid, Amanda ","Law","","","","","UNC"
"Dooney, Phyllis ","Journalism","N/A","3.0","1","4.0","UNC"
"Cheng, Qian ","Statistics","","","","","UNC"
"Pyon, Kevin ","English","N/A","2.0","1","5.0","UNC"
"Seamen, Kendra ","Psychology","","","","","UNC"
"Ball, Louise ","Environmental Sci amp Eng","N/A","2.0","2","3.0","UNC"
"Wilkerson-Hill, Sidney ","Chemistry","N/A","4.0","1","5.0","UNC"
"Penton, Rachel ","Psychology","N/A","4.0","3","4.3","UNC"
"Timpton, Saadia ","Physical Education","N/A","1.7","4","5.0","UNC"
"Meredith, Lee ","Journalism","N/A","3.0","1","2.0","UNC"
"Dwyer, Deborah ","Journalism","N/A","1.0","1","5.0","UNC"
"Sutter, Mark ","Journalism","","","","","UNC"
"Bouvier, Quentin ","Languages","N/A","4.0","1","5.0","UNC"
"Schnabel, Elaine Suzanne","Communication Studies","N/A","3.5","2","5.0","UNC"
"Cooper, Shauna ","Psychology","N/A","1.5","2","5.0","UNC"
"Smolin, Nathan ","Classics","N/A","2.0","1","4.0","UNC"
"Farmer, Brooke ","Spanish","N/A","3.0","1","5.0","UNC"
"Fritz-Morkin, Maggie Ann","Languages","N/A","3.0","1","5.0","UNC"
"Sherman, Hailey ","Political Science","","","","","UNC"
"Desplanque, Kathryn ","Art History","","","","","UNC"
"Palmer, Kylie ","Geology","N/A","2.5","2","4.5","UNC"
"Meyer, Michelle ","Journalism","","","","","UNC"
"Rice, Tamara ","Journalism","N/A","4.0","1","4.0","UNC"
"Warner, Rick ","Film","N/A","1.7","3","4.7","UNC"
"Ripp, Alexandra ","American Studies","N/A","2.0","1","5.0","UNC"
"Hewitt, Courtney ","Languages","N/A","4.0","3","4.0","UNC"
"Keita, Hawa ","Chemistry","","","","","UNC"
"Melwani, Shimul ","Business","N/A","1.5","2","4.5","UNC"
"McMahan, Dana ","Journalism","N/A","3.0","1","5.0","UNC"
"Baker, Brandon ","Anthropology","N/A","2.0","1","5.0","UNC"
"Palmer, Hannah ","English","N/A","3.0","1","4.0","UNC"
"Aacutelamo, Juan ","Music","","","","","UNC"
"Harrison, Emily ","Chemistry","N/A","3.0","1","5.0","UNC"
"Villamil, Lisa ","Journalism","N/A","3.0","3","3.0","UNC"
"Trier, James ","Education","N/A","2.0","2","3.0","UNC"
"Harvey, Cole J","Political Science","N/A","2.5","4","4.5","UNC"
"Sanchez-Cabrera, Manuel ","Spanish","N/A","3.0","1","4.0","UNC"
"Snow, Daniel ","Army ROTC","","","","","UNC"
"Brundage, W. Fitzhugh ","History","N/A","1.0","1","3.0","UNC"
"Rubalcaba, Joaquin ","Public Policy","N/A","4.3","3","2.0","UNC"
"Saric, Marko ","Mathematics","","","","","UNC"
"Harrell, Elizabeth ","Physical Education","","","","","UNC"
"Touma, Fatima ","Sociology","","","","","UNC"
"Davenport, Erin ","Sociology","","","","","UNC"
"McRae, Lauren ","Chemistry","N/A","3.3","3","4.3","UNC"
"Freelon, Deen ","Journalism","N/A","3.0","1","4.0","UNC"
"Moore, Samantha ","Mathematics","N/A","3.0","2","3.5","UNC"
"Prince, Chris ","International Studies","N/A","3.0","1","5.0","UNC"
"Gill, David ","Languages","N/A","4.0","2","3.0","UNC"
"Brothers, J Roger ","Biology","N/A","3.7","3","3.7","UNC"
"Caron, Christian j","Political Science","","","","","UNC"
"Patton, William ","Political Science","","","","","UNC"
"Kramer, Steven ","Spanish","N/A","4.0","2","4.0","UNC"
"Rhoads, Taylor ","Mathematics","N/A","2.0","1","5.0","UNC"
"Garonzik, Rebecca Rae","Languages","N/A","3.0","2","2.5","UNC"
"Bond, David ","Business","","","","","UNC"
"Walters, Glenn ","Design","N/A","2.0","1","5.0","UNC"
"Gil, Karen ","Psychology","N/A","4.0","1","3.0","UNC"
"Dorsey, Achsah ","Anthropology","N/A","3.0","2","5.0","UNC"
"Kokotajlo, Daniel ","Philosophy","N/A","3.7","3","5.0","UNC"
"Collins, Leo ","English","N/A","2.7","3","5.0","UNC"
"Cetin, Oguz ","Business","N/A","3.0","1","5.0","UNC"
"Rivenbark, Jeffrey ","Communication Studies","","","","","UNC"
"Brundage, William ","History","N/A","3.0","1","4.0","UNC"
"Bonds, Mark Evan","Music","N/A","4.0","1","3.0","UNC"
"Meyer, Michele ","Journalism","N/A","2.0","1","4.0","UNC"
"Hamer, Chloe ","English","","","","","UNC"
"Hogan, Bryan ","Chemistry","","","","","UNC"
"Heyman, Rich ","Geography","N/A","2.0","1","4.0","UNC"
"Brame, Sara ","Education","","","","","UNC"
"Swartzer, Steven ","Philosophy","N/A","3.0","1","5.0","UNC"
"Gisser, Michael ","Education","N/A","2.0","3","1.7","UNC"
"Howard, Jennifer ","English","N/A","4.0","1","2.0","UNC"
"Rassalle, Tine ","Religion","N/A","3.0","1","5.0","UNC"
"Burke, Eric ","History","","","","","UNC"
"Bouser, Stephen ","Journalism","N/A","2.0","1","5.0","UNC"
"Smith, Khristian ","English","N/A","2.0","1","2.0","UNC"
"Walton, Caroline ","Chemistry","","3.2","5","3.8","UNC"
"Moon, Gary ","Mathematics","N/A","5.0","1","1.0","UNC"
"Kelly, Sonny ","Communication Studies","N/A","2.0","1","5.0","UNC"
"Rodrigues Ferreira, Paulo ","History","N/A","1.8","4","5.0","UNC"
"Delamater, Paul ","Geography","N/A","3.0","1","5.0","UNC"
"Howell, Travis ","Business","N/A","2.0","1","5.0","UNC"
"McVeigh, Wayne ","Business","N/A","3.0","1","5.0","UNC"
"Putsis, William ","Business","","","","","UNC"
"Blackburn, Richard ","Business","N/A","3.0","1","5.0","UNC"
"Nemitz, Catherine ","Computer Science","N/A","3.0","1","5.0","UNC"
"Smith, Kelly ","Journalism","N/A","3.0","1","3.0","UNC"
"Goerger, Benjamin ","Exercise & Sport Science","","3.0","6","4.7","UNC"
"Waldstein, Isaac ","Physics & Astronomy","","","","","UNC"
"Young, Aidan ","Mathematics","","","","","UNC"
"Lowe, Cindy ","Psychology","","","","","UNC"
"Leath, Susan ","Journalism","N/A","3.0","1","1.0","UNC"
"Snow, Andrea ","Art History","","","","","UNC"
"Maye, Luke ","Physical Education","","","","","UNC"
"Church, Frank ","Biology","","","","","UNC"
"Reeves, Mark ","History","N/A","2.0","1","4.0","UNC"
"Lee, Zardas ","History","","","","","UNC"
"Moore, Laura J.","Geology","","","","","UNC"
"McManus, Brian ","Economics","N/A","3.0","1","5.0","UNC"
"Bruney, Jacob Dylan","Mathematics","N/A","1.0","1","2.0","UNC"
"van Doren, Leda ","Environmental Sci & Eng","N/A","3.0","1","5.0","UNC"
"Hee, Carol ","Business","N/A","3.0","1","5.0","UNC"
"Ehlinger, quotJquot ","Political Science","","","","","UNC"
"Sims, Holly Elise","Languages","","","","","UNC"
"Lee, Adam ","Information Science","N/A","2.0","1","5.0","UNC"
"Argon, Sukriye ","Statistics","","","","","UNC"
"Brinkerhoff, Mykel ","Linguistics","N/A","3.0","1","4.0","UNC"
"Roth, Shaina ","Psychology","N/A","2.0","1","5.0","UNC"
"Wager, Emily ","Political Science","N/A","3.0","1","5.0","UNC"
"Browne, Alyssa ","Sociology","","","","","UNC"
"Goranson, Amelia ","Psychology","","","","","UNC"
"Weatherford, Kathryn ","Psychology","","","","","UNC"
"Davis, Sarah ","Sociology","","","","","UNC"
"Marshall, Catherine ","Education","","","","","UNC"
"Springer, Matthew ","Education","N/A","2.0","1","4.0","UNC"
"Babb, Florence ","Anthropology","","","","","UNC"
"Carlson, Caroline ","Political Science","N/A","3.0","2","5.0","UNC"
"Kees, Lara ","English","N/A","4.0","1","3.0","UNC"
"Enomoto, Sora ","Anthropology","N/A","2.0","1","5.0","UNC"
"Suk, Ann ","Anthropology","N/A","5.0","1","3.0","UNC"
"Dutton, Dwight ","Chemistry","N/A","3.5","2","4.0","UNC"
"Cushman, Helen ","English","N/A","4.0","2","4.5","UNC"
"Huffman, Brittany ","Chemistry","N/A","2.0","1","5.0","UNC"
"Olvera-Cravioto, Mariana ","Statistics","N/A","4.0","1","5.0","UNC"
"Rath, Sandeep ","Business","N/A","3.0","1","5.0","UNC"
"Skender, CJ ","Business","N/A","1.0","1","4.0","UNC"
"Tsai, Jungchih ","Asian Studies","N/A","2.0","1","5.0","UNC"
"Tran, Brian ","Chemistry","N/A","3.0","1","5.0","UNC"
"Fertig, Anne ","English","N/A","2.0","1","4.0","UNC"
"Schulte, Austin ","Exercise amp Sport Science","","","","","UNC"
"Samuel, Petal ","African-American Studies","N/A","3.0","1","5.0","UNC"
"Lee, Suman ","Journalism","","","","","UNC"
"Hughes, Micah Aaron","Religious Studies","","","","","UNC"
"Hinson, Glenn ","African-American Studies","","","","","UNC"
"Robinson, Blaque ","Sociology","N/A","3.0","1","5.0","UNC"
"Boufajreldin, Lama ","Ecology","","","","","UNC"
"Gasior, Kelsey ","Mathematics","N/A","4.0","1","2.0","UNC"
"MacKuen, Michael ","Political Science","","2.6","10","2.3","UNC"
"Merritt, Charles ","Economics","N/A","3.3","3","3.0","UNC"
"Maxwell, Rahsaan  ","Political Science","","3.3","40","3.8","UNC"
"Sferra, Emily ","English","N/A","2.0","1","4.0","UNC"
"Whittemore, Andrew ","Architecture","","3.4","8","3.5","UNC"
"Teske, Andreas ","Biology","","3.6","5","3.0","UNC"
"Baker, David ","English","","2.4","11","3.7","UNC"
"Wojda, Alexandra ","Psychology","N/A","4.0","1","3.0","UNC"
"Ferkenhoff, Eric ","Journalism","","2.8","5","5.0","UNC"
"Snoeyink, Jack ","Computer Science","","4.2","21","3.0","UNC"
"Winget, Megan ","Information Science","N/A","2.0","2","3.5","UNC"
"Waterhouse, Benjamin ","History","N/A","3.7","7","3.9","UNC"
"Freeman, Livis ","Journalism","N/A","1.5","4","5.0","UNC"
"Weidenfeld, Matthew ","Political Science","","3.4","10","5.0","UNC"
"Falvo, Michael ","Physics","N/A","2.3","7","4.7","UNC"
"Kier, William ","Biology","N/A","3.0","5","5.0","UNC"
"Hedrick, Tyson ","Biology","N/A","3.0","1","4.0","UNC"
"Blom, Paul ","English","","2.4","5","4.8","UNC"
"Sparks, Steven ","Political Science","","3.2","13","4.0","UNC"
"Avilés, Lorna ","Spanish","","3.7","8","4.7","UNC"
"Shea, Virginia ","Biology","","4.0","9","3.3","UNC"
"Ndaliko, Chérie ","Music","","2.1","15","4.6","UNC"
"King, Ashley ","English","N/A","1.8","5","4.8","UNC"
